The incidence matrix:
v\e|  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
 13|  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 14|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1  0  0  0  0  0  1  0  0  0  1
 15|  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0 -1  0  1  0  0  0  0  0  0  0
 16|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0 -1 -1 -1  0  0  0  0  0  0
 17|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1 -1  0  0  0  0  0
 18|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0 -1 -1  0  0  0
 19|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0 -1  0  0
 20|  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0 -1 -1
The adjacency matrix:
v\u|  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
---|------------------------------------------------------------
  1|  0  1  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0
  2|  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
  3|  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  4|  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1
  5|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  6|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  7|  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
  8|  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1
  9|  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0
 10|  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
 11|  0  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0
 12|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 13|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 14|  1  0  1  0  0  1  1  0  0  0  1  0  0  0  0  0  0  0  1  1
 15|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
 16|  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0  0  0
 17|  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
 18|  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1
 19|  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
 20|  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0
N  | The vertex indegree
---|--------------------
  1|  3
  2|  1
  3|  1
  4|  3
  5|  0
  6|  0
  7|  1
  8|  2
  9|  2
 10|  2
 11|  4
 12|  0
 13|  0
 14|  7
 15|  1
 16|  3
 17|  1
 18|  2
 19|  1
 20|  2
N  | The vertex outdegree
---|---------------------
  1|  1
  2|  2
  3|  1
  4|  1
  5|  1
  6|  5
  7|  3
  8|  2
  9|  1
 10|  3
 11|  1
 12|  1
 13|  1
 14|  2
 15|  2
 16|  1
 17|  1
 18|  1
 19|  2
 20|  4
N  | The vertex degree
---|------------------
  1|  4
  2|  3
  3|  2
  4|  4
  5|  1
  6|  5
  7|  4
  8|  4
  9|  3
 10|  5
 11|  5
 12|  1
 13|  1
 14|  9
 15|  3
 16|  4
 17|  2
 18|  3
 19|  3
 20|  6
Graph isn't homogeneous.
Isolated vertices:
List is empty.
Leaf vertices:
5 12 13 
The distance matrix:
v\u|  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
---|------------------------------------------------------------
  1|  0  1  5  6  7  1  3  2  4  1  5  4  5  4  3  2  3  6  4  3
  2|  4  0  4  5  6  3  2  1  3  5  4  8  4  3  4  6  7  5  4  2
  3|  -  -  0  -  -  1  -  -  -  -  -  -  -  -  -  -  -  -  -  -
  4|  3  4  3  0  1  2  1  4  2  4  3  7  3  2  3  5  6  4  3  1
  5|  -  -  -  -  0  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -
  6|  -  -  -  -  -  0  -  -  -  -  -  -  -  -  -  -  -  -  -  -
  7|  9  5  9 10 11  8  0  6  1  4  9  7  2  8  2  5  6 10  3  7
  8|  3  4  3  4  5  2  1  0  2  4  3  7  3  2  3  5  6  4  3  1
  9|  8  4  8  9 10  7  6  5  0  3  8  6  1  7  1  4  5  9  2  6
 10|  5  1  5  6  7  4  3  2  4  0  5  3  5  4  2  1  2  6  3  3
 11|  3  4  3  1  2  1  2  1  3  4  0  7  4  2  4  5  6  1  3  2
 12|  -  -  -  -  -  -  -  -  -  -  -  0  -  -  -  -  -  -  -  -
 13|  -  -  -  -  -  -  -  -  -  -  -  -  0  -  -  -  -  -  -  -
 14|  1  2  1  2  3  1  1  2  2  2  1  5  3  0  3  3  4  2  1  1
 15|  7  3  7  8  9  6  5  4  6  2  7  5  7  6  0  3  4  8  1  5
 16|  6  2  6  7  8  5  4  3  5  1  6  2  6  5  1  0  1  7  2  4
 17|  -  -  -  -  -  -  -  -  -  -  -  1  -  -  -  -  0  -  -  -
 18|  2  3  2  3  4  2  2  3  3  3  2  6  4  1  4  4  5  0  2  1
 19|  6  2  6  7  8  5  4  3  5  1  6  4  6  5  3  2  3  7  0  4
 20|  2  3  2  3  4  1  2  3  3  3  2  6  4  1  4  4  5  3  2  0
The reachability matrix:
v\u|  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
---|------------------------------------------------------------
  1|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  2|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  3|  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  4|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  5|  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  6|  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  7|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  8|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  9|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 10|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 11|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 12|  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
 13|  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
 14|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 15|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 16|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 17|  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0
 18|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 19|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 20|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
Simple cycles founded, some of them:
[2, 8, 7, 9, 15, 19, 10, 2]
[10, 16, 10]
[15, 19, 10, 16, 15]
[1, 2, 8, 20, 14, 1]
[14, 11, 18, 14]
[10, 2, 8, 20, 14, 1, 10]
[7, 9, 15, 19, 10, 2, 8, 20, 14, 7]
[4, 7, 9, 15, 19, 10, 2, 8, 20, 14, 11, 4]
Graph is weakly connected.
BFS log:
Vertex | BFS-number | Queue
     1 |          1 |  1 
     2 |          2 |  1   2 
     6 |          3 |  1   2   6 
    10 |          4 |  1   2   6  10 
    -- |         -- |  2   6  10 
     8 |          5 |  2   6  10   8 
    -- |         -- |  6  10   8 
    -- |         -- | 10   8 
    16 |          6 | 10   8  16 
    -- |         -- |  8  16 
     7 |          7 |  8  16   7 
    20 |          8 |  8  16   7  20 
    -- |         -- | 16   7  20 
    15 |          9 | 16   7  20  15 
    17 |         10 | 16   7  20  15  17 
    -- |         -- |  7  20  15  17 
     9 |         11 |  7  20  15  17   9 
    -- |         -- | 20  15  17   9 
    14 |         12 | 20  15  17   9  14 
    -- |         -- | 15  17   9  14 
    19 |         13 | 15  17   9  14  19 
    -- |         -- | 17   9  14  19 
    12 |         14 | 17   9  14  19  12 
    -- |         -- |  9  14  19  12 
    13 |         15 |  9  14  19  12  13 
    -- |         -- | 14  19  12  13 
     3 |         16 | 14  19  12  13   3 
    11 |         17 | 14  19  12  13   3  11 
    -- |         -- | 19  12  13   3  11 
    -- |         -- | 12  13   3  11 
    -- |         -- | 13   3  11 
    -- |         -- |  3  11 
    -- |         -- | 11 
     4 |         18 | 11   4 
    18 |         19 | 11   4  18 
    -- |         -- |  4  18 
     5 |         20 |  4  18   5 
    -- |         -- | 18   5 
    -- |         -- |  5 
    -- |         -- |
DFS log:
Vertex | DFS-number | Stack
     1 |          1 |  1 
     2 |          2 |  1   2 
     8 |          3 |  1   2   8 
     7 |          4 |  1   2   8   7 
     9 |          5 |  1   2   8   7   9 
    13 |          6 |  1   2   8   7   9  13 
    -- |         -- |  1   2   8   7   9 
    15 |          7 |  1   2   8   7   9  15 
    19 |          8 |  1   2   8   7   9  15  19 
    10 |          9 |  1   2   8   7   9  15  19  10 
    16 |         10 |  1   2   8   7   9  15  19  10  16 
    17 |         11 |  1   2   8   7   9  15  19  10  16  17 
    12 |         12 |  1   2   8   7   9  15  19  10  16  17  12 
    -- |         -- |  1   2   8   7   9  15  19  10  16  17 
    -- |         -- |  1   2   8   7   9  15  19  10  16 
    -- |         -- |  1   2   8   7   9  15  19  10 
    -- |         -- |  1   2   8   7   9  15  19 
    -- |         -- |  1   2   8   7   9  15 
    -- |         -- |  1   2   8   7   9 
    -- |         -- |  1   2   8   7 
    -- |         -- |  1   2   8 
    20 |         13 |  1   2   8  20 
     6 |         14 |  1   2   8  20   6 
    -- |         -- |  1   2   8  20 
    14 |         15 |  1   2   8  20  14 
     3 |         16 |  1   2   8  20  14   3 
    -- |         -- |  1   2   8  20  14 
    11 |         17 |  1   2   8  20  14  11 
     4 |         18 |  1   2   8  20  14  11   4 
     5 |         19 |  1   2   8  20  14  11   4   5 
    -- |         -- |  1   2   8  20  14  11   4 
    -- |         -- |  1   2   8  20  14  11 
    18 |         20 |  1   2   8  20  14  11  18 
    -- |         -- |  1   2   8  20  14  11 
    -- |         -- |  1   2   8  20  14 
    -- |         -- |  1   2   8  20 
    -- |         -- |  1   2   8 
    -- |         -- |  1   2 
    -- |         -- |  1 
    -- |         -- |
