The incidence matrix:
v\e|  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
 20|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 -1  1  0  0  0  0  0  0  0  0 -1  0  0
The adjacency matrix:
v\u|  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
---|------------------------------------------------------------
  1|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
  2|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
  3|  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
  4|  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
  5|  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  6|  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  7|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
  8|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
  9|  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0
 10|  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0
 11|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
 12|  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
 13|  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 14|  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
 15|  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 16|  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
 17|  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  1  0  0
 18|  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0
 19|  0  0  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0
 20|  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
N  | The vertex indegree
---|--------------------
  1|  1
  2|  1
  3|  2
  4|  1
  5|  1
  6|  2
  7|  1
  8|  1
  9|  2
 10|  3
 11|  1
 12|  1
 13|  1
 14|  1
 15|  1
 16|  2
 17|  4
 18|  2
 19|  3
 20|  2
N  | The vertex outdegree
---|---------------------
  1|  1
  2|  1
  3|  3
  4|  1
  5|  1
  6|  2
  7|  1
  8|  1
  9|  1
 10|  3
 11|  1
 12|  2
 13|  2
 14|  2
 15|  2
 16|  2
 17|  3
 18|  2
 19|  1
 20|  1
N  | The vertex degree
---|------------------
  1|  2
  2|  2
  3|  5
  4|  2
  5|  2
  6|  4
  7|  2
  8|  2
  9|  3
 10|  6
 11|  2
 12|  3
 13|  3
 14|  3
 15|  3
 16|  4
 17|  7
 18|  4
 19|  4
 20|  3
Graph isn't homogeneous.
Isolated vertices:
List is empty.
Leaf vertices:
List is empty.
The distance matrix:
v\u|  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
---|------------------------------------------------------------
  1|  0  3  6  3  4  2  -  -  -  -  4  7  3  2  2  5  -  -  1  8
  2|  -  0  -  -  -  -  -  -  -  -  -  -  -  -  1  -  -  -  -  -
  3|  -  -  0  -  -  -  -  -  -  -  -  1  -  -  -  -  -  -  -  2
  4|  6  9  3  0  5  8  -  -  -  -  1  4  4  3  8  2  -  -  7  5
  5|  1  4  7  4  0  3  -  -  -  -  5  8  4  3  3  6  -  -  2  9
  6|  7 10  4  1  6  0  -  -  -  -  2  5  5  4  9  3  -  -  8  6
  7|  4  7 10  7  3  6  0  -  -  -  8 11  2  6  6  9  -  1  5 12
  8|  5  8  3  8  4  7  3  0  3  2  9  4  3  3  7  2  1  2  6  5
  9|  5  8  3  8  4  7  3  2  0  1  9  4  3  3  7  2  1  2  6  5
 10|  5  8  3  8  4  7  3  2  1  0  9  4  3  3  7  2  1  2  6  5
 11|  5  8  2  8  4  7  -  -  -  -  0  3  3  2  7  1  -  -  6  4
 12|  -  -  2  -  -  -  -  -  -  -  -  0  -  -  -  -  -  -  -  1
 13|  2  5  8  5  1  4  -  -  -  -  6  9  0  4  4  7  -  -  3 10
 14|  3  6  9  6  2  5  -  -  -  -  7 10  1  0  5  8  -  -  4 11
 15|  -  1  -  -  -  -  -  -  -  -  -  -  -  -  0  -  -  -  -  -
 16|  4  7  1  7  3  6  -  -  -  -  8  2  2  1  6  0  -  -  5  3
 17|  4  7  2  7  3  6  2  1  2  1  8  3  2  2  6  1  0  1  5  4
 18|  3  6  9  6  2  5  1  -  -  -  7 10  1  5  5  8  -  0  4 11
 19|  4  2  5  2  3  1  -  -  -  -  3  6  2  1  1  4  -  -  0  7
 20|  -  -  1  -  -  -  -  -  -  -  -  1  -  -  -  -  -  -  -  0
The reachability matrix:
v\u|  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
---|------------------------------------------------------------
  1|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
  2|  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
  3|  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1
  4|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
  5|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
  6|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
  7|  1  1  1  1  1  1  1  0  0  0  1  1  1  1  1  1  0  1  1  1
  8|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  9|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 10|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 11|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
 12|  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1
 13|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
 14|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
 15|  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
 16|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
 17|  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 18|  1  1  1  1  1  1  1  0  0  0  1  1  1  1  1  1  0  1  1  1
 19|  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1
 20|  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1
Simple cycles founded, some of them:
[3, 3]
[3, 12, 20, 3]
[12, 20, 12]
[1, 19, 6, 4, 11, 16, 14, 13, 5, 1]
[14, 13, 5, 1, 19, 14]
Graph is weakly connected.
BFS log:
Vertex | BFS-number | Queue
     1 |          1 |  1 
    19 |          2 |  1  19 
    -- |         -- | 19 
     6 |          3 | 19   6 
    14 |          4 | 19   6  14 
    15 |          5 | 19   6  14  15 
    -- |         -- |  6  14  15 
     4 |          6 |  6  14  15   4 
    -- |         -- | 14  15   4 
    13 |          7 | 14  15   4  13 
    -- |         -- | 15   4  13 
     2 |          8 | 15   4  13   2 
    -- |         -- |  4  13   2 
    11 |          9 |  4  13   2  11 
    -- |         -- | 13   2  11 
     5 |         10 | 13   2  11   5 
    -- |         -- |  2  11   5 
    -- |         -- | 11   5 
    16 |         11 | 11   5  16 
    -- |         -- |  5  16 
    -- |         -- | 16 
     3 |         12 | 16   3 
    -- |         -- |  3 
    12 |         13 |  3  12 
    -- |         -- | 12 
    20 |         14 | 12  20 
    -- |         -- | 20 
    -- |         -- |
DFS log:
Vertex | DFS-number | Stack
     1 |          1 |  1 
    19 |          2 |  1  19 
     6 |          3 |  1  19   6 
     4 |          4 |  1  19   6   4 
    11 |          5 |  1  19   6   4  11 
    16 |          6 |  1  19   6   4  11  16 
     3 |          7 |  1  19   6   4  11  16   3 
    12 |          8 |  1  19   6   4  11  16   3  12 
    20 |          9 |  1  19   6   4  11  16   3  12  20 
    -- |         -- |  1  19   6   4  11  16   3  12 
    -- |         -- |  1  19   6   4  11  16   3 
    -- |         -- |  1  19   6   4  11  16 
    14 |         10 |  1  19   6   4  11  16  14 
    13 |         11 |  1  19   6   4  11  16  14  13 
     5 |         12 |  1  19   6   4  11  16  14  13   5 
    -- |         -- |  1  19   6   4  11  16  14  13 
    -- |         -- |  1  19   6   4  11  16  14 
    -- |         -- |  1  19   6   4  11  16 
    -- |         -- |  1  19   6   4  11 
    -- |         -- |  1  19   6   4 
    -- |         -- |  1  19   6 
    -- |         -- |  1  19 
    15 |         13 |  1  19  15 
     2 |         14 |  1  19  15   2 
    -- |         -- |  1  19  15 
    -- |         -- |  1  19 
    -- |         -- |  1 
    -- |         -- |
